uuid,覆盖目标用户比例,预算
110819840112.csv,89,15000
99556927961.csv,156,30000
110273579285.csv,199,42000
104342493060.csv,282,72000
56733450179.csv,606,222000
91751570163.csv,626,242000
53500165833.csv,653,277000
3390506074900868.csv,677,315000
64718415318.csv,688,335000
67168071285.csv,718,395000
60558507933.csv,731,427000
64755101425.csv,749,477000
95583330010.csv,762,517000
61493635565.csv,786,607000
75319361272.csv,797,657000
67203093108.csv,828,807000
52931829133.csv,834,842000
61031715994.csv,848,932000
104332721863.csv,896,1282000
75944529580.csv,902,1347000
91565233784.csv,909,1432000
98247093927.csv,911,1462000
75624065509.csv,922,1632000
89923335731.csv,927,1722000
103316667265.csv,932,1822000
69172357660.csv,933,1842000
93763913776.csv,953,2242000
51766426482.csv,954,2272000
61569002758.csv,958,2392000
74316806460.csv,960,2452000
3759974969770119.csv,969,2802000
73117026687.csv,970,2842000
82640730129.csv,973,2962000
58487390105.csv,975,3067000
73628514334.csv,978,3267000
110185895196.csv,979,3335000
77626782172.csv,980,3403000
92704145693.csv,981,3472500
96065709918.csv,982,3552500
69807366252.csv,983,3637500
13197976418.csv,984,3727500
2862729997063315.csv,985,3817500
1059563815044316.csv,986,3967500
61268016285.csv,987,4217500
105621336289.csv,988,4505500
98602472535.csv,989,4855500
