uuid,覆盖目标用户比例,预算
67689638095.csv,93,1100
58969514556.csv,198,3900
73368452954.csv,257,5900
56814187585932.csv,333,10900
110839287249.csv,370,13900
78629674367.csv,438,23900
93031820838.csv,461,27700
63320301757.csv,483,33700
103036427004.csv,535,53700
88074446756.csv,556,63700
1235502809744731.csv,564,68500
106471308270.csv,601,92500
59835658097.csv,610,100500
64002251227.csv,664,150500
96179633536.csv,715,210500
62119439326.csv,741,254400
101755663603.csv,758,284400
2827575368887597.csv,765,299400
3192605356589524.csv,774,319399
108787706115.csv,795,369399
64718415318.csv,802,389399
98247093927.csv,812,419399
64933147076.csv,818,439399
60558507933.csv,827,471399
104342493060.csv,834,501399
56733450179.csv,867,651399
110819840112.csv,870,666399
99556927961.csv,873,681399
53500165833.csv,879,716399
110273579285.csv,881,728399
91751570163.csv,884,748399
96214799697.csv,888,778399
52931829133.csv,892,813399
3390506074900868.csv,896,851399
104332721863.csv,931,1201399
1472983365074040.csv,934,1231399
75319361272.csv,938,1281399
103316667265.csv,945,1381399
67168071285.csv,948,1441399
67203093108.csv,955,1591399
87880430462.csv,956,1613399
89923335731.csv,960,1703399
75624065509.csv,966,1873399
61493635565.csv,969,1963399
110185895196.csv,971,2031399
97574617085.csv,973,2106399
73117026687.csv,974,2146399
82640730129.csv,977,2266399
61268016285.csv,982,2516399
64755101425.csv,983,2566399
93763913776.csv,991,2966399
92704145693.csv,992,3035899
2862729997063315.csv,993,3125899
3298156208982480.csv,994,3215899
3759974969770119.csv,996,3565899
73628514334.csv,997,3765899
105621336289.csv,998,4053899
