uuid,覆盖目标用户比例,预算
64933147076.csv,106,20000
99794727127.csv,157,35000
98247093927.csv,225,65000
96214799697.csv,289,95000
51766426482.csv,332,125000
106023010540.csv,377,167000
1472983365074040.csv,405,197000
87880430462.csv,424,219000
91617001540.csv,499,319000
96065709918.csv,547,399000
93763913776.csv,750,799000
105580002301.csv,772,899000
75624065509.csv,806,1069000
103316667265.csv,822,1169000
104567019078.csv,834,1259000
61569002758.csv,850,1379000
82640730129.csv,863,1499000
92704145693.csv,869,1568500
74316806460.csv,874,1628500
73117026687.csv,877,1668500
3759974969770119.csv,901,2018500
89923335731.csv,907,2108500
62920442076.csv,908,2128500
84694589751.csv,913,2228500
58487390105.csv,918,2333500
91565233784.csv,921,2418500
73628514334.csv,928,2618500
2862729997063315.csv,931,2708500
110185895196.csv,933,2776500
3931503595102984.csv,935,2856500
98602472535.csv,943,3206500
101963577425.csv,948,3426500
13197976418.csv,950,3516500
73043238404.csv,951,3576500
77626782172.csv,952,3644500
56284938462.csv,954,3814500
3298156208982480.csv,955,3904500
84964400614.csv,956,3994500
105621336289.csv,959,4282500
61268016285.csv,961,4532500
58784361722.csv,962,4672500
80134451704.csv,963,4872500
