uuid,覆盖目标用户比例,预算
107_猴哥说车.csv,107,350000
106_虎哥说车.csv,145,750000
91_南哥说车.csv,165,900000
69_小刚学长.csv,172,1280000
47_溜溜哥.csv,177,1530000
13_主持人星宁.csv,180,1585000
31_车圈小月月.csv,183,1605000
13_君卡好车.csv,185,1655000
13_崔说房车.csv,187,1670000
17_3Gm汽车性能升级中心.csv,189,1820000
27_买车黄金眼.csv,191,1900000
32_大中华区总裁.csv,193,2020000
7_筛哥评车说车.csv,195,2050000
12_梁恩铭不叫良民.csv,196,2065000
13_壹加壹汽车.csv,197,2075000
14_我是大王.csv,198,2077800
14_游荡美利坚.csv,199,2177800
15_极速拍档Speedsters.csv,200,2327800
16_玩奥迪小李子.csv,201,2332800
17_小西西.csv,202,2402300
19_嘴咆老陶.csv,203,2452300
19_大师说车.csv,204,2652300
21_Bimmer·温锦宏.csv,205,2842300
21_万尊车业.csv,206,2852300
26_懂车大侦探.csv,207,2862300
27_唐山小松汽车.csv,208,2872300
32_欧叔侃车30秒.csv,209,2932300
9_Fulltest 汽车实验室.csv,210,3012300
