uuid,覆盖目标用户比例,预算
11_车价大魔王-恒悦.csv,11,1000
54_备胎说车.csv,61,11000
7_霸王花侃车.csv,65,12000
3_西北小唐聊汽车.csv,68,13100
16_选车攻略.csv,76,16100
6_车价大军师-即达车铺.csv,78,17100
14_我是大王.csv,83,19900
9_诗情说车.csv,88,22899
16_玩奥迪小李子.csv,96,27899
6_蝌蚪哥玩车.csv,101,31199
37_大飙车拆车.csv,114,41199
21_万尊车业.csv,124,51199
6_拍车界的宋大师.csv,126,53199
18_陈田拆车件.csv,134,63199
26_懂车大侦探.csv,141,73199
1_盛业汽车用品.csv,142,75199
18_38号车评中心.csv,146,85199
23_选车指南.csv,150,95199
27_唐山小松汽车.csv,154,105199
7_奥宝利（厦门）廖姐姐.csv,156,110199
5_大张开车.csv,157,113699
7_小胡说车.csv,158,117399
11_学好姐姐.csv,160,127399
13_崔说房车.csv,163,142399
17_老白不喝酒G.E.D&G-end.csv,165,152399
11_说车的姚老板.csv,167,172398
13_壹加壹汽车.csv,168,182398
21_30秒喷车.csv,169,192398
25_赵老师说车.csv,170,202398
2_业余摄影师.Rio.csv,171,212398
6_性能传达室.csv,172,222398
9_焊界李宗盛.csv,173,232398
9_碰撞指南.csv,174,242398
12_梁恩铭不叫良民.csv,175,257398
24_老郭机械局.csv,177,287398
7_筛哥评车说车.csv,179,317398
13_君卡好车.csv,182,367398
13_三刀侃车.csv,183,387398
31_车圈小月月.csv,184,407398
107_猴哥说车.csv,196,757398
23_大头评车.csv,197,787398
32_欧叔侃车30秒.csv,199,847398
19_嘴咆老陶.csv,200,897398
17_车百万.csv,201,965398
9_Fulltest 汽车实验室.csv,202,1045398
41_玩车报告.csv,203,1145398
32_大中华区总裁.csv,204,1265398
106_虎哥说车.csv,207,1665398
15_极速拍档Speedsters.csv,208,1815398
21_Bimmer·温锦宏.csv,209,2005398
19_大师说车.csv,210,2205398
