uid,kol用户名,抖音号,是否入驻,粉丝数,价格,预计播放量
95522611742,特斯拉,TeslaChina,否,917774,,
66598046050,央视新闻,cctvnews,否,105885632,,
104255897823,人民日报,rmrbxmt,否,117871294,,
93763913776,虎哥说车,hugeshuoche2,是,28560573,"'1-20s视频': 300000, '20-60s视频': 400000",6647959.0
104332721863,猴哥说车,1636323608,是,30538855,"'1-20s视频': 170000, '20-60s视频': 350000",15216192.0
56733450179,南哥说车,181634557,是,5952238,"'1-20s视频': 40000, '20-60s视频': 150000",732318.0
64269185197,中国日报,chinadaily,是,28148058,"'1-20s视频': 40000, '20-60s视频': 40000",1226008.0
4195355415549012,罗永浩,luoyonghao,是,13610646,"'1-20s视频': 83600, '20-60s视频': 83600",1937135.0
3759974969770119,毒辣车评,cheping666,是,6744765,"'1-20s视频': 250000, '20-60s视频': 350000",6022611.0
96582746791,央视网（12月12日晚8点 国货直播）,cctv.com,否,23300645,,
927583046739879,毒舌电影,dsmovie2019,是,47460113,"'1-20s视频': 200000, '20-60s视频': 200000",15732507.0
3170636073283755,小刚学长,xiaogangxz,是,13368829,"'1-20s视频': 53000, '20-60s视频': 380000",10832243.0
105075390754,新闻联播,cctvxwlb,否,28809577,,
69721760111,人民网,renminwang,否,43459148,,
95872745325,阿里巴巴,Ali102,是,9668374,"'1-20s视频': 1500, '20-60s视频': 1500",424064.0
98680217165,四川观察,scgcnews,是,35845175,"'1-20s视频': 30000, '20-60s视频': 40000",867928.0
63540064846,大LOGO 吃垮北京,40897255,是,18816199,"'1-20s视频': 110000, '20-60s视频': 250000",11737487.0
93601892201,央视国家记忆,guojiajiyi,否,13719423,,
85089670734,GEM鄧紫棋,GEMdzq,否,40536176,,
61686938961,商业小纸条real,22026006,是,12892050,"'1-20s视频': 29800, '20-60s视频': 29800",6549882.0
99808893411,宝马中国,BMW_China,否,2894219,,
6556303280,陈翔六点半,cxldb001,是,46811831,"'1-20s视频': 250000, '20-60s视频': 250000",5041384.0
69746644058,麻辣德子,dz0528,是,34783008,"'1-20s视频': 350000, '20-60s视频': 350000",2398485.0
96179633536,汽车之家,AUTOHOME2018,是,2672148,"'1-20s视频': 60000, '20-60s视频': 60000",86211.0
93288642596,新华社,xinhuashe,否,22371548,,
99854964202,环球网,huanqiuwang,是,19863575,"'1-20s视频': 60000, '20-60s视频': 120000",1886304.0
94075129360,廊坊燕宝宝马,,否,499715,,
98602472535,陈震同学,luobotongxue,是,2304144,"'1-20s视频': 250000, '20-60s视频': 350000",1061021.0
25189068324,虎小叔说车,fm1054hxs,是,6630449,"'1-20s视频': 10000, '20-60s视频': 130000",941445.0
63460410479,创业找崔磊,1030854191,是,11033714,"'1-20s视频': 18900, '20-60s视频': 18900",1201159.0
90123656534,中国网直播,zgwzb,是,15886599,"'1-20s视频': 25000, '20-60s视频': 32000",474448.0
53593622863,痞幼,MiyouW,是,8209942,"'1-20s视频': 140000, '20-60s视频': 200000",11719545.0
1059563815044316,八戒说车,bajieshuoche,是,7078035,"'1-20s视频': 11800, '20-60s视频': 150000",4076257.0
104815668206,雷军,xmleijun,否,4521340,,
93984482190,科技公元,kejigongyuan,是,15119556,"'1-20s视频': 98000, '20-60s视频': 148000",658603.0
67203093108,车坛老炮儿,hch0571,是,8076133,"'1-20s视频': 100000, '20-60s视频': 150000",3415286.0
108787706115,此地无垠,cidiwuyin,是,1411648,"'1-20s视频': 50000, '20-60s视频': 50000",711495.0
14352507152,河南广播电视台民生频道,594830048,是,21121246,"'1-20s视频': 50000, '20-60s视频': 100000",2073442.0
94129192423,支付宝,386830018,是,7640272,"'1-20s视频': 2465, '20-60s视频': 2465",185996.0
61493635565,备胎说车,,否,4393209,,
7869942119,毒角SHOW,193148355,是,22049090,"'1-20s视频': 280000, '20-60s视频': 350000",6497228.0
98524606968,央视财经,yscjxmt,否,5582259,,
82258449787,深圳交警,,否,10482046,,
98934041906,环球时报,HuanQiuShiBao,否,7418488,,
75624065509,大鲜汽车讲堂,daxian88888888,是,7579763,"'1-20s视频': 150000, '20-60s视频': 170000",6746484.0
93389153804,老爸评测,daddylab,否,20350066,,
96600205230,地球村讲解员,shutan001,是,11212141,"'1-20s视频': 80000, '20-60s视频': 90000",524519.0
101649721252,中国火箭军,zghjj1966,否,8507979,,
4498796778893779,外交部发言人办公室,xws_mfa,否,13838925,,
93584412487,《侣行》,ontheroad270,是,5753692,"'1-20s视频': 200000, '20-60s视频': 350000",420788.0
97712504916,凤凰卫视,876955174,是,6825529,"'1-20s视频': 70000, '20-60s视频': 300000",256950.0
84990209480,陈赫,,否,68274328,,
68310389333,李子柒,,否,41835809,,
110563717491,郭冬临·暖男先生,Mr_nuannan,是,25606717,"'1-20s视频': 880000, '20-60s视频': 880000",2246602.0
96608588706,光明日报,guangmingribao,否,22999689,,
74658338695,姚大,,否,15025305,,
85950401751,许君聪,1984_0707,是,15187645,"'1-20s视频': 700000, '20-60s视频': 700000",3223224.0
64002251227,汽车系超老师,q398341506,是,2851580,"'1-20s视频': 32000, '20-60s视频': 50000",1296573.0
86560737726,中国军网,zgjw81tv,否,16506674,,
88490949184,《电商》杂志社,chaijingNDS,是,5349858,"'1-20s视频': 10000, '20-60s视频': 20000",132205.0
